model,dataset,variable,coefficient,p_value,lower_ci,upper_ci,std_err,significant
GPT-4o,pediatrics,age,-0.0021817610797029,0.2648933314374513,-0.0060172383680833,0.0016537162086773,0.0019569121262605,False
GPT-4o,pediatrics,experience,-0.0012979565684738,0.4795047360818718,-0.004895680290994,0.0022997671540463,0.0018356070575268,False
GPT-4o,psychiatry,Intercept,1.265012013800716,4.901361004590409e-05,0.6543701026701653,1.8756539249312665,0.3115577204209955,True
GPT-4o,psychiatry,source[T.Family Doctor],-5.6338629726539335e-05,0.999520315306448,-0.1837264737785284,0.1836137965190753,0.0937109745880886,False
GPT-4o,psychiatry,source[T.Internet],-0.180607843463035,0.0514796811826551,-0.3623753638829918,0.0011596769569217,0.0927402349500888,False
GPT-4o,psychiatry,source[T.Na],-0.0254218492746063,0.7700953340051458,-0.1959124406837926,0.1450687421345798,0.0869865940160096,False
GPT-4o,psychiatry,source[T.Specialist],-0.0895833680858055,0.4289650612387957,-0.3115659090959,0.132399172924289,0.113258479625679,False
GPT-4o,psychiatry,gender[T.Male],0.0043466328987139,0.8634591717313499,-0.0451917839222583,0.0538850497196863,0.0252751668968027,False
GPT-4o,psychiatry,gender[T.Na],0.0049949002602125,0.9361081302524714,-0.1171300626992009,0.1271198632196259,0.0623097995283176,False
GPT-4o,psychiatry,second_agree_first,-0.867966900726304,0.003491857313348,-1.4504137700315396,-0.2855200314210683,0.2971722306631664,True
GPT-4o,psychiatry,prior_correctness,1.8981033848241704,1.972181152680091e-09,1.2780761287855014,2.5181306408628394,0.3163462496909969,True
GPT-4o,psychiatry,age,-0.0027809696340176,0.0205480961137152,-0.0051342346564796,-0.0004277046115555,0.0012006674821702,True
GPT-4o,psychiatry,experience,-0.0036451523723896,0.0125360138215455,-0.0065066933298976,-0.0007836114148817,0.0014599967040616,True
GPT-4o,obgyn,Intercept,0.167728118400966,0.3337504631772092,-0.1723768300223235,0.5078330668242557,0.1735261214522277,False
GPT-4o,obgyn,source[T.Family Doctor],-0.0119907618752768,0.8648078231887267,-0.1500257662347653,0.1260442424842116,0.0704273167508642,False
GPT-4o,obgyn,source[T.Internet],0.014396995385087,0.8247647727768311,-0.1130417468960091,0.1418357376661833,0.0650209612453681,False
GPT-4o,obgyn,source[T.Na],0.0188323202160736,0.7162592054832823,-0.0827204949329254,0.1203851353650726,0.0518136128776011,False
GPT-4o,obgyn,source[T.Specialist],-0.0832219558632483,0.2440545694784877,-0.2232428503768632,0.0567989386503665,0.0714405446314737,False
GPT-4o,obgyn,gender[T.Male],0.071821551730099,0.008391059956951,0.0184178484098819,0.1252252550503161,0.0272472880835865,True
GPT-4o,obgyn,gender[T.Na],0.0446734679050135,0.1896074612537538,-0.0220762738372719,0.111423209647299,0.0340566164831593,False
GPT-4o,obgyn,second_agree_first,-0.5314878968514671,0.0084877592898822,-0.9272657097124072,-0.1357100839905272,0.2019311660738589,True
GPT-4o,obgyn,prior_correctness,1.61853315700055,1.8370498954511521e-16,1.233187645484764,2.0038786685163363,0.1966084655408682,True
GPT-4o,obgyn,age,0.0009206754332457,0.2462948198142367,-0.0006357304379996,0.0024770813044912,0.0007940992199459,False
GPT-4o,obgyn,experience,-0.0013300639527859,0.2176115820220462,-0.0034444844100901,0.0007843565045182,0.0010788057709133,False
GPT-4o,internal_medicine,Intercept,0.9364975034636804,2.5765245819074512e-05,0.5003031560389409,1.3726918508884198,0.2225522258905698,True
GPT-4o,internal_medicine,source[T.Family Doctor],-0.0377971571221497,0.6027310779077804,-0.1801301536560398,0.1045358394117404,0.0726202101960008,False
GPT-4o,internal_medicine,source[T.Internet],-0.0100103983400721,0.8911151722694157,-0.1533338992749303,0.1333131025947859,0.0731255788705178,False
GPT-4o,internal_medicine,source[T.Na],-0.011675682171062,0.8493321763984608,-0.1321359940322388,0.1087846296901146,0.0614604721369128,False
GPT-4o,internal_medicine,source[T.Specialist],-0.0901376599930238,0.2211962221691734,-0.234549371356216,0.0542740513701683,0.0736807984750196,False
GPT-4o,internal_medicine,gender[T.Male],0.0278474017246045,0.1032420616657186,-0.0056508629645601,0.0613456664137692,0.0170912654280357,False
GPT-4o,internal_medicine,gender[T.Na],0.0285293724722963,0.3756986714801831,-0.0345925767834996,0.0916513217280922,0.0322056679376222,False
GPT-4o,internal_medicine,second_agree_first,-0.1847464248134149,0.4156921310617198,-0.6296272315149347,0.2601343818881049,0.2269841743066111,False
GPT-4o,internal_medicine,prior_correctness,0.6963814759964576,0.0048942219718036,0.2113338543069022,1.1814290976860131,0.2474778238353098,True
GPT-4o,internal_medicine,age,0.0015106195134244,0.096384733486854,-0.000270139848896,0.0032913788757448,0.0009085673902004,False
GPT-4o,internal_medicine,experience,-0.0018307424702379,0.0694179038572034,-0.0038069547396333,0.0001454697991574,0.0010082900935851,False
DeepSeek R1 8B,general_surgery,Intercept,0.626838072628435,1.432155632324422e-06,0.3719711547716466,0.8817049904852234,0.1300365312154438,True
DeepSeek R1 8B,general_surgery,source[T.Family Doctor],-0.037824301834212,0.5894728027805257,-0.1752117122523182,0.099563108583894,0.0700969056073481,False
DeepSeek R1 8B,general_surgery,source[T.Internet],0.0778707433559034,0.3403837500344211,-0.0822117882998099,0.2379532750116167,0.0816762618693118,False
DeepSeek R1 8B,general_surgery,source[T.Na],-0.013058518034924,0.8415742806121661,-0.1411063475998199,0.1149893115299717,0.0653317257740044,False
DeepSeek R1 8B,general_surgery,source[T.Specialist],-0.0396908637882344,0.5703618372340518,-0.1767659345045872,0.0973842069281182,0.0699375456883817,False
DeepSeek R1 8B,general_surgery,gender[T.Male],-0.0266094939903959,0.1637407952395264,-0.0640600550845781,0.0108410671037861,0.0191077802396306,False
DeepSeek R1 8B,general_surgery,gender[T.Na],-0.0213893639329114,0.5470896046015914,-0.0910131859866743,0.0482344581208514,0.0355230109343573,False
DeepSeek R1 8B,general_surgery,second_agree_first,-0.9624141179666288,1.40955646067581e-10,-1.2564654398411523,-0.6683627960921051,0.1500289414468647,True
DeepSeek R1 8B,general_surgery,prior_correctness,0.2799519595237314,0.0676089164454794,-0.0202747750190817,0.5801786940665445,0.1531797200922891,False
DeepSeek R1 8B,general_surgery,age,-0.0004145578122578,0.6866128912641143,-0.0024284543435449,0.0015993387190293,0.0010275171111165,False
DeepSeek R1 8B,general_surgery,experience,-0.0005621459855171,0.6299108183892295,-0.0028487091270488,0.0017244171560145,0.0011666352849174,False
DeepSeek R1 8B,pediatrics,Intercept,0.4893391186590797,0.000545731377635,0.2119253254769696,0.7667529118411898,0.1415402504180253,True
DeepSeek R1 8B,pediatrics,source[T.Family Doctor],-0.0108613578143089,0.8904554819440191,-0.1654260666757169,0.143703351047099,0.0788609944267316,False
DeepSeek R1 8B,pediatrics,source[T.Internet],0.0497734427621813,0.6015903517607889,-0.1370707945633114,0.2366176800876741,0.0953304442322901,False
DeepSeek R1 8B,pediatrics,source[T.Na],-0.0146318977580533,0.8421923009772424,-0.1586772280192946,0.1294134325031878,0.0734938659064413,False
DeepSeek R1 8B,pediatrics,source[T.Specialist],-0.0178298100503547,0.8174860738885392,-0.1692547802055988,0.1335951601048894,0.0772590574876196,False
DeepSeek R1 8B,pediatrics,gender[T.Male],-0.0242946131462078,0.2887611719541793,-0.0691801979115095,0.0205909716190939,0.0229012293691891,False
DeepSeek R1 8B,pediatrics,gender[T.Na],-0.0937238186418166,0.0239796037756933,-0.1750965316866554,-0.0123511055969777,0.0415174532219451,True
DeepSeek R1 8B,pediatrics,second_agree_first,-0.8141463456713302,3.217193564307587e-06,-1.1568322818787091,-0.471460409463951,0.1748429761518283,True
DeepSeek R1 8B,pediatrics,prior_correctness,0.0960969509637142,0.5876736258429558,-0.2512711375947637,0.4434650395221922,0.1772318732887304,False
DeepSeek R1 8B,pediatrics,age,0.0015259512070359,0.1486052799474564,-0.0005445647045244,0.0035964671185963,0.0010564050808547,False
DeepSeek R1 8B,pediatrics,experience,0.0008289982265369,0.4813691869877535,-0.0014786310889798,0.0031366275420537,0.0011773835303704,False
DeepSeek R1 8B,psychiatry,Intercept,0.60332082379794,3.1838238521229795e-06,0.3494914355801575,0.8571502120157226,0.1295071696316648,True
DeepSeek R1 8B,psychiatry,source[T.Family Doctor],-0.040925087977052,0.550246823378048,-0.1751952585691667,0.0933450826150626,0.0685064478996658,False
DeepSeek R1 8B,psychiatry,source[T.Internet],-0.0283471245245873,0.7193885386846031,-0.1829895858922716,0.1262953368430969,0.0789006648017434,False
DeepSeek R1 8B,psychiatry,source[T.Na],-0.0498157685189283,0.4376883070190566,-0.1756201280227978,0.0759885909849412,0.0641870771586612,False
DeepSeek R1 8B,psychiatry,source[T.Specialist],-0.0116704070391949,0.8649995509308304,-0.1462102101503286,0.1228693960719387,0.0686440180392938,False
DeepSeek R1 8B,psychiatry,gender[T.Male],-0.0219881161513299,0.2765521754596493,-0.0615947924388137,0.0176185601361538,0.0202078592259328,False
DeepSeek R1 8B,psychiatry,gender[T.Na],-0.0227501545849451,0.5416963528668697,-0.0958177483174639,0.0503174391475736,0.0372800695874345,False
DeepSeek R1 8B,psychiatry,second_agree_first,-0.96878636221386,1.2502294589258895e-10,-1.2639449645469092,-0.6736277598808107,0.1505938908373942,True
DeepSeek R1 8B,psychiatry,prior_correctness,0.2297333376865917,0.1096037448803698,-0.0516889220044321,0.5111555973776156,0.143585423972505,False
DeepSeek R1 8B,psychiatry,age,-0.0005379898509016,0.5987794838840823,-0.0025420338137055,0.0014660541119023,0.0010224901980911,False
DeepSeek R1 8B,psychiatry,experience,0.0004009174498764,0.7009630007058736,-0.0016452833770821,0.0024471182768349,0.0010439991974846,False
